category,sub,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,10 year change,source name,source link
ENERGY,Solar Power,0.04,0.07,0.13,0.19,0.25,0.35,0.45,0.57,0.75,0.94,1.14,1.42,1.63,2030%,Our World in Data,https://ourworldindata.org/grapher/solar-share-energy
ENERGY,Wind Power,1.36,1.61,1.98,2.32,2.71,2.93,3.42,3.86,4.45,4.76,5.25,5.94,6.54,270%,Our World in Data,https://ourworldindata.org/grapher/share-electricity-wind?tab=chart&country=
ENERGY,Wind Power,0.57,0.68,0.84,0.99,1.16,1.27,1.47,1.67,1.93,2.08,2.29,2.68,2.95,293%,Our World in Data,https://ourworldindata.org/grapher/wind-share-energy
ENERGY,Wind Power ,277,346,440,530,636,706,831,962,1140,1270,1421,1596,1862,361%,Our World in Data,https://ourworldindata.org/grapher/wind-generation
GLOBAL HEALTH,Countries Who've Eradicated Malaria,65,71,72,98,98,98,99,101,101,103,105,105,107,51%,WHO,https://www.who.int/teams/global-malaria-programme/elimination/countries-and-territories-certified-malaria-free-by-who
GLOBAL HEALTH,Deaths from Smoking,116,113,111,108,106,103,102,99.79,97.79,96.59,95.61,-,-,,Our World in Data,https://ourworldindata.org/smoking
GLOBAL HEALTH,Dementia ,5100421,5275999,5462761,5665887,5877641,6094468,6310572,6550073,6794975,7018467,7236385,-,-,,"Global Burden of Disease Collaborative Network. Global Burden of Disease Study 2019 (GBD 2019) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2021.",https://vizhub.healthdata.org/gbd-results/
GLOBAL HEALTH,Health Expenditure,874,912,986,996,1012,1035,994,1016,1057,1103,1122,-,-,,Worldbank,https://databank.worldbank.org/source/health-nutrition-and-population-statistics#
GLOBAL HEALTH,HIV / AIDS,2399929,2370918,2342046,2314238,2285709,2265234,2243665,2196714,2131659,2042488,1989282,-,-,,Our World in Data,https://ourworldindata.org/hiv-aids
GLOBAL HEALTH,HIV / AIDS,20.62,19.09,17.71,16.32,15.13,14.22,13.47,12.85,12.06,11.22,10.72,-,-,,Our World in Data,https://ourworldindata.org/hiv-aids
GLOBAL HEALTH,HIV / AIDS,1.45,1.37,1.28,1.2,1.13,1.07,1.03,0.97,0.95,0.89,0.86,,,,,
GLOBAL HEALTH,Infant Mortality ,38.6,37.2,35.8,34.5,33.3,32.2,31.2,30.3,29.4,29,28,27,,-25%,Worldbank,https://data.worldbank.org/indicator/SP.DYN.IMRT.IN
GLOBAL HEALTH,Malaria ,70.6,69.5,66.5,64.3,61.8,59.8,58.9,58.7,59.2,57.2,56.3,59.5,-,-11%,Worldbank,https://databank.worldbank.org/source/health-nutrition-and-population-statistics?savedlg=1&l=en#
GLOBAL HEALTH,Malaria ,918165,910161,868828,806421,752017,724533,703065,660569,629854,631744,643381,-,-,,"Global Burden of Disease Collaborative Network. Global Burden of Disease Study 2016 (GBD 2016) Results. Seattle, United States: Institute for Health Metrics & Evaluation (IHME), 2017.",https://vizhub.healthdata.org/gbd-results/
GLOBAL HEALTH,Maternal Mortality,354000,343000,334000,326000,319000,313000,306000,300000,295000,,,,,,Our World in Data,https://data.worldbank.org/indicator/SH.MMR.DTHS?view=chart
GLOBAL HEALTH,Polio,1787,1412,716,293,481,415,106,42,118,138,554,1253,649,-54%,WHO (via Our World in Data),"https://ourworldindata.org/polio#:~:text=In%201980%2C%20there%20were%20over,number%20was%20down%20to%20649."
GLOBAL HEALTH,Smoking,-,27.8,-,-,-,-,25.2,-,-,23.4,23.4,23,-,-17%,Worldbank,https://databank.worldbank.org/reports.aspx?dsid=2&series=SH.PRV.SMOK#
GLOBAL HEALTH,Tropical Diseases,2051672,2016434,1960756,1895419,1814474,,1699509,1656896,,,,,,,,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/6f33462998aebc60e1ca6947cb5fa1a9
GLOBAL HEALTH,Tuberculosis,161,158,155,152,149,145,142,138,135,133,130,127,-,-18%,Worldbank,https://databank.worldbank.org/source/health-nutrition-and-population-statistics#
GLOBAL HEALTH,Tuberculosis,21,21,20,19,19,18,18,17,17,16,16,17,-,-15%,Worldbank,https://databank.worldbank.org/source/health-nutrition-and-population-statistics#
GLOBAL HEALTH,Tuberculosis ,1417403,1386717,1353969,1321313,1289369,1261016,1236143,1213057,,,,,,,"Global Burden of Disease Collaborative Network. Global Burden of Disease Study 2016 (GBD 2016) Results. Seattle, United States: Institute for Health Metrics & Evaluation (IHME), 2017.",http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/6f33462998aebc60e1ca6947cb5fa1a46
GLOBAL HEALTH,Tuberculosis ,,161,158,155,152,149,145,142,138,135,133,130,127,-18%,"Global Burden of Disease Collaborative Network. Global Burden of Disease Study 2016 (GBD 2016) Results. Seattle, United States: Institute for Health Metrics & Evaluation (IHME), 2017.",https://data.worldbank.org/indicator/SH.TBS.INCD?view=chart
QUALITY OF LIFE,Access to Electricity,83.2,83.5,82.5,85,85.2,85.7,87,87.4,88.9,,,90.5,,8%,Worldbank,https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS?end=2020&name_desc=false&start=2020&view=bar
QUALITY OF LIFE,Access to Internet,26,29,31,34,36,38,40,43,46,49,54,60,,107%,Worldbank,https://data.worldbank.org/indicator/IT.NET.USER.ZS?end=2020&start=1960&view=chart
QUALITY OF LIFE,Access to safely managed Sanitation,38.5,40,41.3,42.8,44.2,45.7,47.1,48.6,50.1,51.6,53,54,-,35%,UNICEF/WHO (Via Our World in Data),https://ourworldindata.org/sanitation
QUALITY OF LIFE,Air Pollution,,95.1,95.8,94.5,93.7,92.7,92.6,91.3,91.3,,,,,,Our World in Data,https://ourworldindata.org/outdoor-air-pollution
QUALITY OF LIFE,Extreme Poverty,,83.69,85.87,87.26,,,90.39,,,91.4,,,,,ODI,https://www.odi.org/blogs/10688-new-projections-show-extreme-poverty-falling-not-fast-enough
QUALITY OF LIFE,Happy Planet Index,44,43.6,44,44.1,44,44.6,44.3,44.5,44.3,44.2,44.1,46,,6%,Happy Planet Index,https://happyplanetindex.org/countries/
QUALITY OF LIFE,Hunger,9.8,8.6,8.3,8.2,7.9,7.8,8,7.8,7.6,7.7,8,9.3,-,8%,Worldbank,https://databank.worldbank.org/reports.aspx?dsid=2&series=SN.ITK.DEFC.ZS#
QUALITY OF LIFE,Life Expectancy,69.8,70.1,70.5,70.9,71.2,71.6,71.8,72.1,72.3,72.6,72.8,72,71,3%,United Nations Department of Economic and Social Affairs Population Division,https://population.un.org/wpp/Download/Standard/MostUsed/
QUALITY OF LIFE,People Using At Least Basic Drinking Water,85.7,86.2,86.5,86.9,87.4,87.8,88.2,88.6,88.9,89.3,89.7,90,,4%,Worldbank,https://data.worldbank.org/indicator/SH.H2O.BASW.ZS?view=chart
QUALITY OF LIFE,Road Safety,,18.3,18.2,18.2,18,17.5,17.2,17,16.9,16.7,16.7,16.7,,-9%,WHO,https://apps.who.int/gho/data/view.main.RoadTrafficDeathWB?lang=en
SUSTAINABILITY & CLIMATE,Biodiversity,36.87713,35.2,33.4,32.4,31.7,31.7,31.6,31.1,30.9,30.9,-,-,-,,Our World in Data,https://ourworldindata.org/living-planet-index
SUSTAINABILITY & CLIMATE,Deforestation,31.6,31.5,31.5,31.5,31.4,31.4,31.3,31.3,31.3,31.2,31.2,31.2,- ,-1%,FAO via Our Wolrd in Data,"https://ourworldindata.org/deforestation#:~:text=Globally%20we%20deforest%20around%20ten,deforestation%20occurs%20in%20the%20tropics."
SUSTAINABILITY & CLIMATE,Electric Cars,-,0,0.11,9.19,0.31,0.41,0.68,0.89,1.39,2.25,2.66,4.26,-,,World Resources Institute,https://www.wri.org/insights/what-projected-growth-electric-vehicles-adoption
SUSTAINABILITY & CLIMATE,Global CO2 emissions,3.16,3.34,3.45,3.5,3.53,3.56,3.56,3.55,3.61,3.68,3.71,3.53,3.71,,Our World in Data,https://ourworldindata.org/co2-emissions
SUSTAINABILITY & CLIMATE,Methane emissions,7.81,7.91,8.05,8.14,8.11,8.27,8.32,8.23,8.33,8.49,8.61,-,-,,Our World in Data,https://ourworldindata.org/greenhouse-gas-emissions#annual-methane-emissions-how-much-do-we-emit-each-year
SUSTAINABILITY & CLIMATE,Price of Lithium Ion Battery Pack,,1191,924,726,668,592,384,295,221,181,157,137,,-88%,Arse Technica / Bloomberg NEF,https://arstechnica.com/science/2020/12/battery-prices-have-fallen-88-percent-over-the-last-decade/
SUSTAINABILITY & CLIMATE,Trees Planted / reforestation,,,,,,,,,,,,,,,,
